Month,Turnover
1982 Apr,2.2
1982 May,2
1982 Jun,2
1982 Jul,2
1982 Aug,2
1982 Sep,2.2
1982 Oct,2.5
1982 Nov,2.9
1982 Dec,4.1
1983 Jan,2.1
1983 Feb,2.1
1983 Mar,2.2
1983 Apr,2.3
1983 May,2.3
1983 Jun,2.1
1983 Jul,2.3
1983 Aug,2.4
1983 Sep,2.4
1983 Oct,2.7
1983 Nov,3.2
1983 Dec,4.7
1984 Jan,2.1
1984 Feb,2.1
1984 Mar,2.3
1984 Apr,2.1
1984 May,2.2
1984 Jun,2.2
1984 Jul,2.3
1984 Aug,2.5
1984 Sep,2.6
1984 Oct,2.7
1984 Nov,3
1984 Dec,4.1
1985 Jan,2.5
1985 Feb,2.4
1985 Mar,2.4
1985 Apr,2.9
1985 May,3.1
1985 Jun,2.8
1985 Jul,3.2
1985 Aug,3.3
1985 Sep,3.2
1985 Oct,3.3
1985 Nov,3.6
1985 Dec,4.8
1986 Jan,3.5
1986 Feb,2.9
1986 Mar,4
1986 Apr,3.1
1986 May,3.5
1986 Jun,3
1986 Jul,4.2
1986 Aug,4.1
1986 Sep,4
1986 Oct,4
1986 Nov,4
1986 Dec,5.5
1987 Jan,3.4
1987 Feb,3.4
1987 Mar,3.8
1987 Apr,3.9
1987 May,4
1987 Jun,3.8
1987 Jul,3.9
1987 Aug,3.8
1987 Sep,4
1987 Oct,4.5
1987 Nov,4.1
1987 Dec,6.1
1988 Jan,3.7
1988 Feb,3.8
1988 Mar,4.3
1988 Apr,4.1
1988 May,4
1988 Jun,3.8
1988 Jul,3.7
1988 Aug,4.1
1988 Sep,4.6
1988 Oct,4.8
1988 Nov,4.9
1988 Dec,8.2
1989 Jan,4.2
1989 Feb,4.4
1989 Mar,4.4
1989 Apr,4.1
1989 May,4.3
1989 Jun,3.7
1989 Jul,3.8
1989 Aug,4
1989 Sep,4.8
1989 Oct,5.1
1989 Nov,4.8
1989 Dec,7.3
1990 Jan,4.3
1990 Feb,4.1
1990 Mar,4.3
1990 Apr,4.1
1990 May,4.3
1990 Jun,4
1990 Jul,4
1990 Aug,4
1990 Sep,4.2
1990 Oct,4.6
1990 Nov,4.8
1990 Dec,6.5
